501	678	1009	1184	3111	2504	1631	32597	9438.3604	211650864	2.674	0	32537	9505.4805	210438960	2.674	0	32288	9732.3203	206362912	2.674	0	32344	9804.5996	205090448	2.674	0	30042	11279.1602	179572480	2.674	0	31295	10949.4805	185251824	2.674	0	31908	10358.2002	195403024	2.674	0	17.64	800.1504	0.7801	793.84	12.64	0.915	0.5104	-0.001	17.76	796.0223	0.6601	794.08	12.88	1.5432	0.2544	-0.0016	18.24	779.2224	0.7001	769	12.6	1.3205	0.3376	-0.0011	18.44	772.4064	0.5601	769.28	12.88	1.7875	0.1872	-0.0019	21.24	678.1824	0.7801	672.84	11.64	0.915	0.5104	-0.0007	20.76	694.5824	0.5281	693.1199	12.48	2.3452	0.1072	-0.0087	19.64	731.6703	0.5561	730.8398	12.68	2.3758	0.1264	-0.0088
210	271	546	516	3173	2013	1258	211	182.8	3269.9199	3.1634	0	232	244	4117.4399	3.108	0	308	500.12	7332.1851	3.108	0	497	449.28	18431.2402	3.2189	0	1492	3008.76	126952.4375	3.2189	0	1296	1608.64	144926.8125	3.1634	0	912	835.04	77303.2422	3.1634	0	0	0	1	0	0	0	1	#NAME?	0	0	1	0	0	0	1	#NAME?	0.16	0.1344	0.86	0.28	0.28	0.7842	0.5584	-3.2327	0.2	0.16	0.84	0.32	0.32	1.0008	0.4624	2.8512	5.04	0.5984	0.736	0.72	0.56	1.9843	0.1872	-0.8332	2.76	0.7424	0.528	1.52	1.04	1.947	0.1584	0.9825	1.32	0.2976	0.74	0.52	0.52	1.5855	0.2256	15.0505
439	529	838	1060	2464	2557	2050	236	395.28	2233.4814	3.108	0	273	498.36	3403.1904	3.087	0	384	840.32	6594.2974	3.108	0	543	959	11820.4795	3.2189	0	813	2662.3601	70428.7109	3.2189	0	815	2408.72	40074.5938	3.2189	0	835	1614.2	48564.6406	3.1634	0	0	0	1	0	0	0	1	#NAME?	0.04	0.0384	0.98	0.04	0.04	0.1679	0.9232	#NAME?	1	0	1	0	0	0	1	677.0834	1.16	0.1344	0.86	0.28	0.28	0.9387	0.504	12.4692	4.48	0.2496	0.84	0.32	0.32	1.0388	0.3728	5.2583	4.28	0.2016	0.72	0.56	0.56	1.2024	0.3216	2.8148	2.76	0.3424	0.696	0.8	0.64	1.7178	0.216	1.7353
370	456	772	898	2471	2249	1705	277	350.56	5131.5264	3.108	0	271	445.84	5549.3345	3.2189	0	270	797.68	6272.3774	3.108	0	633	852.2	26804.5586	3.2189	0	1744	2386.6799	209237.75	3.2189	0	2163	1890.24	361389.75	3.2189	0	1928	1322.64	254724.625	3.2189	0	0	0	1	0	0	0	1	#NAME?	0.04	0.0384	0.98	0.04	0.04	0.1679	0.9232	#NAME?	1	0	1	0	0	0	1	677.0834	1.12	0.1056	0.92	0.16	0.16	0.7114	0.6544	11.1899	3.96	0.8384	0.644	1	0.76	1.9543	0.184	-0.7257	3.16	1.2544	0.72	0.56	0.56	2.2424	0.1232	-1.9356	2.2	1.04	0.76	0.48	0.48	2.1098	0.1616	-2.2052
212	280	561	516	3363	2052	1191	257	303.56	4426.2461	3.087	0	291	384.36	5450.6304	3.108	0	422	687.56	10203.6865	3.1634	0	576	723.08	22248.1523	3.0316	0	1254	3068	116345.0313	3.1634	0	738	2278.72	37949.8008	3.2189	0	803	1455.76	39172.1875	3.2189	0	0	0	1	0	0	0	1	#NAME?	0	0	0.98	0.04	0.04	0.1679	0.9232	#NAME?	0.8	0.16	0.86	0.28	0.28	0.9387	0.504	129.5721	0.88	0.1056	0.86	0.28	0.28	0.8951	0.5456	41.0405	5.24	0.6624	0.668	0.76	0.68	2.0342	0.1456	-0.1967	4.12	0.1856	0.828	0.44	0.36	1.3414	0.3408	1.5924	2.48	0.2496	0.84	0.32	0.32	1.3087	0.2864	9.6152
510	633	1014	1174	2993	2793	2001	356	303.28	11500.4414	3.108	0	418	387.76	15662.584	3.2189	0	543	698.64	23377.5918	3.2189	0	793	712.84	56860.375	3.1634	0	940	3196.76	47266.9844	3.2189	0	1435	2278.24	137591.7188	3.1634	0	1221	1418.92	130563.0859	3.2189	0	0	0	0.98	0.04	0.04	0.1679	0.9232	#NAME?	0.08	0.0736	0.84	0.32	0.32	0.8068	0.5264	-3.2327	0.68	0.2176	0.82	0.36	0.36	1.0492	0.4432	29.5009	0.76	0.4224	0.624	1.04	0.8	1.8706	0.1776	2.4514	5.48	0.2496	0.74	0.52	0.52	1.3773	0.2544	2.0614	3.96	0.6784	0.54	1.4	1	2.0194	0.1648	-1.1574	2.36	0.6304	0.588	1.4	0.92	2.1241	0.136	-2.0702
623	887	1302	1393	2242	2842	2879	612	410.04	26924.8398	3.1634	0	750	529.96	44715	3.2189	0	926	918.2	71128.0781	3.1634	0	1337	926	128081.7578	3.2189	0	1566	2667.72	137586.0313	3.1634	0	2813	2205.8	378370.9688	3.2189	0	2813	1578	560947.375	3.2189	0	0.16	0.1344	0.84	0.32	0.32	0.8487	0.5136	-3.2327	0.24	0.1824	0.82	0.36	0.36	1.0504	0.4272	2.8512	1.08	0.3136	0.756	0.68	0.52	1.4969	0.3184	3.6393	1.28	0.5216	0.68	1.12	0.72	1.7756	0.2448	-1.5821	4.44	0.7264	0.536	1.6	1.04	2.0889	0.1648	-2.0812	3.88	1.5456	0.3839	4.64	1.76	2.8098	0.0656	-18.5544	2.72	2.2816	0.379	5.96	1.96	2.8234	0.0688	-9.7985
334	433	655	782	1522	1092	819	404	336.4	14866.4004	3.2189	0	442	408	19266.8809	3.1634	0	715	678.56	58931.5273	3.2189	0	899	725.88	104577.9453	3.1634	0	2700	1819.96	867936.375	3.2189	0	2726	1413.8	805381	3.2189	0	1823	912.64	353543.5625	3.1634	0	0	0	0.98	0.04	0.04	0.1679	0.9232	#NAME?	0.16	0.1344	0.88	0.24	0.24	0.8741	0.5488	2.8512	0.6	0.24	0.84	0.32	0.32	1.3801	0.2928	21.4185	0.84	0.6144	0.748	0.6	0.52	1.9843	0.1488	1.8268	2.76	4.0224	0.5104	2.6	1.24	2.8098	0.0656	-7.3321	2.44	3.2064	0.54	2.36	1.16	2.7334	0.072	-8.6454	1.32	1.3376	0.64	1.2	0.8	2.2452	0.12	-3.4989
259	300	610	546	3300	1882	1034	274	198.32	5341.8975	3.108	0	292	247.6	6074.3198	3.1634	0	358	519.56	9517.5264	3.1634	0	565	422.04	22916.2773	3.2189	0	1238	3135.1599	72667.25	3.2189	0	1031	1753.12	76896.3516	3.2189	0	916	901.4	50433.2813	3.2189	0	0	0	1	0	0	0	1	#NAME?	0	0	1	0	0	0	1	#NAME?	0.24	0.1824	0.84	0.32	0.32	1.1594	0.3504	34.5314	0.2	0.16	0.84	0.32	0.32	1.1184	0.376	26.6114	5.36	0.3904	0.764	0.76	0.52	1.6906	0.2032	1.1563	2.84	0.3744	0.684	1.4	0.76	1.978	0.1712	-0.5724	1.32	0.2976	0.696	0.8	0.64	1.6453	0.2352	0.6533
709	870	1423	1655	1314	852	707	518	620.6	26590.8789	3.2189	0	615	778.36	36446.6289	3.2189	0	981	1256.2	91748.4766	3.2189	0	1174	1455.2	136699.7031	3.2189	0	1529	1877.6	210112.7188	3.2189	0	2693	1438.6	462452.4375	3.2189	0	2276	1152.6	339785.5313	3.2189	0	0.68	0.2176	0.82	0.36	0.36	1.2801	0.3056	82.0518	0.72	0.2016	0.84	0.32	0.32	1.2096	0.3504	97.8919	1.8	0.32	0.776	0.64	0.48	1.5647	0.2704	2.8533	2.28	0.6016	0.636	0.92	0.76	1.7111	0.1936	5.2909	2.96	0.7584	0.596	1.48	0.92	1.9249	0.1776	-0.8642	2.4	1.68	0.4007	3.96	1.64	2.7198	0.0752	-11.9602	1.76	1.3024	0.436	2.76	1.4	2.4561	0.0944	-6.0202
