501,678,1009,1184,3111,2504,1631,,,Builtup,376.1963775,489.3174452,784.9389895,862.2774071,2378.858913,2111.418494,1645.056244
210,271,546,516,3173,2013,1258,,,Water,401.6520052,545.8072445,937.4708926,1010.054334,1493.235446,1116.062096,884.0659767
439,529,838,1060,2464,2557,2050,,,Rice,373.5514644,489.6962343,828.8912134,919.7941423,2366.820084,1879.723849,1191.917155
370,456,772,898,2471,2249,1705,,,Agriculture,293.6963087,390.6291946,718.659396,699.2114094,2960.10906,1950.077181,1167.265101
212,280,561,516,3363,2052,1191,,,Tree,220.284264,302.3654822,622.1751269,521.2715736,3184.672589,1902.332487,980.4517766
510,633,1014,1174,2993,2793,2001,,,Grass,142.9358074,199.9087262,449.6148445,305.9167503,3253.25677,1542.484453,694.6589769
623,887,1302,1393,2242,2842,2879,,,Bareland,505.3733333,618.4133333,998.96,1145.56,2620,2521.36,1766.44
334,433,655,782,1522,1092,819,,,,,,,,,,
259,300,610,546,3300,1882,1034,,,,Aerosol,Blue,Green,Red,Nir,Swir1,Swir2
709,870,1423,1655,1314,852,707,,NDVI,Builtup,0.467916606,,,,,,
818,935,1431,1891,2868,3020,2398,,,Water,0.19301845,,,,,,
284,433,614,696,2585,2466,1916,,,Rice,0.44027861,,,,,,
351,425,787,783,2913,2217,1322,,,Agriculture,0.61784631,,,,,,
287,367,676,662,2762,2073,1377,,,Tree,0.718683525,,,,,,
481,585,975,1124,3040,2383,1619,,,Grass,0.828096749,,,,,,
450,559,859,1074,2411,2494,2086,,,Bareland,0.39155929,,,,,,
466,619,963,1093,1746,1823,1458,,,,,,,,,,
363,459,746,870,2432,2218,1625,,BSI,Builtup,0.018062624,,,,,,
466,592,954,1106,2717,2681,2189,,,Water,0.020905261,,,,,,
320,417,666,750,2729,2506,1885,,,Rice,-0.010077436,,,,,,
292,339,606,649,2690,2224,1591,,,Agriculture,-0.116907754,,,,,,
241,306,594,565,3291,2119,1356,,,Tree,-0.179918524,,,,,,
449,621,914,1058,2576,3256,2699,,,Grass,-0.302696237,,,,,,
257,372,597,627,2591,1752,1072,,,Bareland,0.062054451,,,,,,
284,342,619,644,2599,2133,1573,,,,,,,,,,
314,403,735,767,2673,2180,1283,,,,,,,,,,
622,687,1008,1359,2866,3048,2160,,,,,,,,,,
327,397,731,760,3021,2536,1763,,,,,,,,,,
292,356,621,710,2235,1913,1368,,,,,,,,,,
421,541,915,986,2743,2715,2112,,,,,,,,,,
327,400,679,778,2555,2192,1512,,,,,,,,,,
309,381,693,701,2934,2222,1360,,,,,,,,,,
302,419,749,983,2246,2375,2001,,,,,,,,,,
417,523,879,1006,2754,2486,1660,,,,,,,,,,
368,420,744,825,2681,2348,1593,,,,,,,,,,
353,508,862,1149,2249,2698,2357,,,,,,,,,,
333,406,638,773,2400,2476,1949,,,,,,,,,,
184,271,565,627,2514,1855,1304,,,,,,,,,,
405,505,825,910,2638,2365,1753,,,,,,,,,,
346,433,706,853,2317,2323,1914,,,,,,,,,,
269,381,620,645,2575,1830,1140,,,,,,,,,,
350,467,788,870,2274,1812,1325,,,,,,,,,,
421,520,885,983,2711,2432,1549,,,,,,,,,,
387,457,776,904,2757,2552,1847,,,,,,,,,,
386,488,789,878,2697,2436,1733,,,,,,,,,,
602,806,1188,1382,2741,3700,3209,,,,,,,,,,
398,513,847,900,2932,2234,1551,,,,,,,,,,
558,644,971,1278,2806,3513,2610,,,,,,,,,,
478,573,868,1180,2362,2501,2127,,,,,,,,,,
214,304,621,659,2457,2005,1530,,,,,,,,,,
304,398,698,751,2709,2099,1568,,,,,,,,,,
312,400,681,727,2557,1890,1344,,,,,,,,,,
316,444,765,971,2093,2670,2398,,,,,,,,,,
576,697,1129,1300,2496,2355,1927,,,,,,,,,,
271,361,689,834,2578,2035,1571,,,,,,,,,,
281,352,621,696,2633,2148,1568,,,,,,,,,,
364,446,716,835,2604,2243,1814,,,,,,,,,,
333,438,737,958,2317,2526,2068,,,,,,,,,,
249,346,609,597,2519,2103,1471,,,,,,,,,,
287,418,738,868,2489,2502,1989,,,,,,,,,,
268,346,641,628,2976,2031,1336,,,,,,,,,,
467,649,996,1066,2922,2616,1862,,,,,,,,,,
356,451,693,892,2128,2154,1830,,,,,,,,,,
216,328,625,625,3002,2266,1355,,,,,,,,,,
313,437,753,905,2515,2409,1885,,,,,,,,,,
482,589,930,1102,2751,2476,1948,,,,,,,,,,
368,464,751,846,2563,2492,1920,,,,,,,,,,
353,459,779,817,2673,2288,1417,,,,,,,,,,
314,419,713,728,2372,2024,1412,,,,,,,,,,
350,446,731,810,2524,2279,1707,,,,,,,,,,
265,376,659,741,2355,2299,1927,,,,,,,,,,
399,506,869,983,3144,2514,1755,,,,,,,,,,
531,682,1109,1224,2565,2716,2158,,,,,,,,,,
510,628,984,1229,2515,2695,2278,,,,,,,,,,
644,804,1215,1462,2448,2811,2522,,,,,,,,,,
286,414,689,807,2693,2415,1781,,,,,,,,,,
419,540,887,1005,2892,2428,1811,,,,,,,,,,
622,705,1085,1390,2491,2405,1811,,,,,,,,,,
423,526,815,1001,2005,2269,1902,,,,,,,,,,
417,509,791,939,2377,2259,1655,,,,,,,,,,
348,470,767,804,2580,2636,2246,,,,,,,,,,
649,802,1190,1461,2698,2928,2185,,,,,,,,,,
413,515,843,1058,2517,2385,1898,,,,,,,,,,
319,406,678,743,2491,1917,1366,,,,,,,,,,
236,337,625,646,2848,2357,1579,,,,,,,,,,
424,508,733,968,2039,2336,1999,,,,,,,,,,
407,556,821,937,1922,1700,1337,,,,,,,,,,
495,657,1035,1119,2079,1864,1615,,,,,,,,,,
504,615,985,1278,2399,2593,2070,,,,,,,,,,
303,388,649,701,2614,1951,1385,,,,,,,,,,
464,615,921,1070,2159,1826,1366,,,,,,,,,,
417,520,784,977,2357,2673,2323,,,,,,,,,,
385,500,810,999,2512,2434,1902,,,,,,,,,,
320,428,775,831,2738,2246,1518,,,,,,,,,,
336,434,769,866,2812,2313,1610,,,,,,,,,,
442,565,848,998,2225,2201,1814,,,,,,,,,,
378,477,738,872,2171,2198,1835,,,,,,,,,,
379,475,861,941,2423,2156,1635,,,,,,,,,,
401,558,866,928,2252,1680,1284,,,,,,,,,,
336,443,788,859,2720,2393,1651,,,,,,,,,,
418,522,805,957,2201,2280,1907,,,,,,,,,,
404,508,779,923,1977,2180,1917,,,,,,,,,,
301,416,681,769,2410,1889,1260,,,,,,,,,,
275,379,646,649,3006,2030,1212,,,,,,,,,,
388,495,781,893,2414,2008,1450,,,,,,,,,,
409,533,789,939,2223,2424,2079,,,,,,,,,,
386,474,766,884,2285,2018,1512,,,,,,,,,,
413,471,732,947,2485,2465,1993,,,,,,,,,,
220,310,585,553,3187,2161,1353,,,,,,,,,,
342,422,663,809,1959,2032,1569,,,,,,,,,,
496,632,960,1141,2688,2514,1938,,,,,,,,,,
392,514,860,988,2657,2407,1753,,,,,,,,,,
398,465,727,917,2335,2472,1979,,,,,,,,,,
343,425,719,820,2535,2341,1740,,,,,,,,,,
345,451,759,794,2681,2041,1269,,,,,,,,,,
658,809,1198,1470,2874,2867,2061,,,,,,,,,,
336,414,693,805,2403,2052,1676,,,,,,,,,,
405,514,897,922,2962,2398,1520,,,,,,,,,,
356,435,674,832,2342,2059,1565,,,,,,,,,,
767,1061,1681,1734,2768,3117,3063,,,,,,,,,,
386,480,785,923,2552,2434,1871,,,,,,,,,,
454,539,893,1047,2577,2560,2061,,,,,,,,,,
217,303,584,541,3542,1799,1064,,,,,,,,,,
261,363,677,641,2940,1858,1155,,,,,,,,,,
250,346,621,616,3131,1937,1155,,,,,,,,,,
972,1373,1886,2181,2615,3654,3740,,,,,,,,,,
479,568,841,1089,2116,2389,2053,,,,,,,,,,
373,476,730,894,2577,2265,1603,,,,,,,,,,
