485	626	1101	1151	3014	2483	1681	32667	9386.7998	212592336	2.674	0	32632	9445.1602	211539008	2.6186	0	32411	9685.2803	207216896	2.674	0	32514	9687.0801	207222656	2.674	0	30218	11419.5996	177327936	2.674	0	31356	10732.5195	188891904	2.674	0	32098	10088.96	200090048	2.674	0	17.68	798.7775	0.7801	788.84	12.6	1.015	0.4976	-0.0014	17.88	791.8656	0.7001	779	12.68	1.6438	0.2544	-0.0021	18.72	762.6815	0.6401	754.36	12.6	1.814	0.184	-0.0021	18.64	765.5905	0.5201	754.68	12.84	2.1025	0.1424	-0.0039	21.88	658.0255	0.5481	655.4798	12.04	2.4534	0.104	-0.0165	20.4	706.3199	0.4841	687.76	12.4	2.2479	0.1104	-0.0051	19.12	749.3055	0.5441	735.3199	12.68	2.2242	0.1168	-0.0038	6
299	362	671	711	3219	2438	1428	423	224.72	10105.1621	3.1634	0	477	286.28	12004.9219	3.2189	0	712	587.28	22881.3203	3.1634	0	974	545.56	53375.2031	3.1634	0	1102	2890.6001	111092.0703	3.2189	0	1647	1896.64	161432.4688	3.2189	0	1344	1026.8	104760	3.2189	0	0.04	0.0384	0.96	0.08	0.08	0.3342	0.8496	-3.2327	0.12	0.1056	0.88	0.24	0.24	0.7174	0.6064	-3.2327	1.28	0.2016	0.78	0.44	0.44	1.1332	0.3696	14.175	1.04	0.2784	0.78	0.44	0.44	1.386	0.3312	19.2996	5.36	0.3904	0.796	0.6	0.44	1.6432	0.2416	0.8231	3.36	0.7904	0.688	1.2	0.72	2.154	0.1456	-2.7516	1.64	0.3904	0.756	0.68	0.52	1.7286	0.2224	0.0721	6
431	540	876	1041	2826	2503	1746	342	353.6	5707.3599	3.1634	0	371	457	7147.1196	3.1634	0	480	842.64	10039.3506	3.1634	0	791	860.56	30400.0078	3.1634	0	1309	3141.8799	74998.75	3.2189	0	1450	2111.5601	124261.75	3.2189	0	1190	1262.88	92864.1094	3.1634	0	0.04	0.0384	0.92	0.16	0.16	0.5296	0.7216	-3.2327	0.6	0.24	0.78	0.44	0.44	1.1734	0.3536	89.9718	1.96	0.0384	0.96	0.08	0.08	0.3342	0.8496	42.2674	1.6	0.24	0.76	0.48	0.48	1.2211	0.328	27.3947	5.84	0.3744	0.728	0.64	0.56	1.7123	0.2352	0.2063	3.88	0.5856	0.684	0.92	0.68	1.8904	0.1776	0.6177	2.08	0.4736	0.716	0.76	0.6	1.8497	0.1808	1.7258	6
426	541	868	1025	2756	2460	1716	220	340.48	5005.5293	3.0525	0	249	437.24	6825.542	3.2189	0	376	815.72	9243.4814	3.1634	0	506	827.4	26463.1992	3.0525	0	1753	2717.6799	199886.9219	3.2189	0	1724	1950.76	234181.8125	3.2189	0	1342	1267.3199	153488.0625	3.2189	0	0	0	1	0	0	0	1	#NAME?	0.48	0.2496	0.8	0.4	0.4	1.3568	0.264	58.2916	1.96	0.0384	0.96	0.08	0.08	0.4433	0.7824	61.1194	1.52	0.2496	0.84	0.32	0.32	1.3188	0.2832	23.1302	5.04	0.6784	0.728	0.64	0.56	1.8096	0.2256	-0.0338	3.4	0.96	0.736	0.72	0.56	2.154	0.1456	-2.365	2.04	0.5184	0.8	0.4	0.4	1.857	0.168	4.175	6
281	340	649	668	3264	2444	1445	316	359.64	6880.6309	3.2189	0	350	441.16	9151.1738	3.1634	0	463	784.16	17286.375	3.108	0	687	845.96	34490.6016	3.2189	0	1239	3126.6799	66727.0938	3.1634	0	498	2469.1201	18913.2266	3.2189	0	536	1573.72	21936.0391	3.2189	0	0	0	0.98	0.04	0.04	0.1679	0.9232	#NAME?	0.6	0.24	0.74	0.52	0.52	1.3568	0.264	58.2916	1.72	0.2016	0.84	0.32	0.32	1.2555	0.3696	12.0347	1.56	0.2464	0.74	0.52	0.52	1.4921	0.2352	8.4951	5.76	0.2624	0.688	0.72	0.64	1.6879	0.2128	0.527	4.52	0.2496	0.708	0.68	0.6	1.6069	0.216	1.1689	2.76	0.1824	0.82	0.36	0.36	1.1419	0.3856	11.4056	6
604	689	1126	1384	3420	3137	2135	483	297.44	17157.5234	3.1634	0	550	382.56	23340.166	3.1634	0	644	733.16	35867.0938	3.2189	0	1081	697.2	86223.0313	3.2189	0	1559	3448.3201	100686.7656	3.2189	0	1375	2354.6799	137912.8438	3.1634	0	1300	1348.5601	141777.3594	3.1634	0	0.08	0.0736	0.9	0.2	0.2	0.635	0.6608	-3.2327	0.44	0.2464	0.7	0.6	0.6	1.2653	0.312	50.3715	1.48	0.2496	0.68	0.64	0.64	1.3417	0.3056	9.6129	1.44	0.3264	0.676	0.84	0.68	1.6523	0.2288	1.6299	6.44	0.5664	0.556	1.08	0.92	1.831	0.1936	0.153	4.28	0.7616	0.7	1.08	0.68	2.0533	0.1808	-2.093	2.32	0.6976	0.672	1.04	0.72	1.9233	0.2096	-2.4226	6
609	747	1250	1367	2738	3373	2992	660	419.28	37504.9219	3.2189	0	932	551.12	67227.3906	3.2189	0	1101	1024.6	102685.5156	3.2189	0	1447	945.44	180603.7656	3.2189	0	2557	3051.72	292795.4063	3.2189	0	2727	2361.48	355428.4063	3.1634	0	3071	1626.5601	583837.125	3.2189	0	0.32	0.2176	0.78	0.44	0.44	1.2188	0.3344	10.7713	0.68	0.5376	0.592	1.2	0.88	1.9916	0.1488	-1.8152	2.24	0.4224	0.712	0.96	0.64	1.5933	0.2896	0.0414	1.72	0.6016	0.58	1.32	0.92	2.0024	0.1552	-2.4433	5.68	1.2576	0.5687	2.76	1.16	2.4534	0.104	-5.154	4.28	1.3216	0.3687	4.12	1.72	2.6989	0.072	-12.4885	2.8	2.16	0.4541	5.4	1.72	2.6016	0.088	-5.7497	6
294	395	594	693	1235	1325	1087	515	301.48	20313.6875	3.1634	0	575	389.4	30057.9219	3.2189	0	1130	672.08	96499.5156	3.2189	0	1223	683.52	111509.6797	3.2189	0	2935	1736.04	915170.125	3.2189	0	2212	1349.76	579567.75	3.2189	0	1744	938.48	275869.9375	3.2189	0	0.08	0.0736	0.96	0.08	0.08	0.4988	0.7792	2.8512	0.36	0.2304	0.84	0.32	0.32	1.2801	0.3056	42.4515	1.56	0.3264	0.78	0.44	0.44	1.5855	0.2256	3.9507	1.28	0.6016	0.66	0.68	0.68	2.0261	0.1488	-0.0914	3.12	3.7056	0.508	2.04	1.16	2.7543	0.0688	-9.6271	2.32	2.4576	0.6	1.28	0.88	2.5224	0.0976	-5.979	1.44	1.2864	0.708	0.68	0.6	2.3379	0.1008	-2.2553	6
250	334	696	528	3923	2111	1161	235	219.56	4580.2466	3.2189	0	289	274.12	6129.9453	3.108	0	411	595.96	10798.6787	3.0525	0	491	464.48	19781.3691	3.2189	0	1060	3494.6001	68051.0391	3.2189	0	799	1985.04	46566.0313	3.1634	0	560	974	31348.959	3.2189	0	0	0	1	0	0	0	1	#NAME?	0.04	0.0384	0.96	0.08	0.08	0.3342	0.8496	-3.2327	1.28	0.2016	0.74	0.52	0.52	1.1889	0.3312	15.0278	0.96	0.0384	0.96	0.08	0.08	0.3342	0.8496	67.9549	6.52	0.3296	0.628	0.84	0.76	1.6732	0.2256	0.3869	3.52	0.2496	0.688	0.72	0.64	1.4797	0.2416	2.9962	1.52	0.2496	0.648	0.8	0.72	1.4343	0.2608	10.6312	6
642	834	1431	1505	887	688	659	584	608.12	20211.8633	3.1634	0	735	786.4	36126	3.1634	0	996	1320.52	69708.0859	3.2189	0	1333	1426.72	105338.2031	3.2189	0	2386	1699.2	586733.25	3.2189	0	2690	1520.36	623092.6875	3.2189	0	2346	1221.04	446453.875	3.2189	0	0.76	0.1824	0.82	0.36	0.36	1.1419	0.3856	105.8119	1.24	0.2624	0.72	0.56	0.56	1.1889	0.3312	31.2958	2.68	0.2976	0.788	0.52	0.44	1.3324	0.3184	8.1885	2.76	0.5024	0.684	0.92	0.68	1.9124	0.184	-0.7109	3.2	2.24	0.3671	4.4	1.76	2.5806	0.0848	-9.3646	2.72	2.3616	0.3719	4.76	1.8	2.8098	0.0656	-14.6782	1.92	1.9136	0.4367	3.6	1.52	2.7543	0.0752	-11.5711	6
